EXCEL Document

FILENAME	false
Bezeichnung	true
CONTENT	false
Last-Save-Date	false
Manager	false
Comments	false
Keywords	false
Autor	true
Category	false
Content-Type	false
Company	false
subject	false
Autor	true



ODF Document

FILENAME	false
Bezeichnung	true
CONTENT	false
nbPara	false
Keywords	false
Content-Type	false
date	false
nbImg	false
nbObject	false
nbTab	false
Creation-Date	false
nbWord	false
subject	false
Edit-Time	false
generator	false
nbPage	false
nbCharacter	false
editing-cycles	false



PPT Document

FILENAME	false
Bezeichnung	true
CONTENT	false
Word-Count	false
xmpTPg:NPages	false
Manager	false
Revision-Number	false
Autor	true
Keywords	false
Content-Type	false
Autor	true
Last-Printed	false
Slide-Count	false
Last-Save-Date	false
Comments	false
Creation-Date	false
Category	false
Company	false
subject	false
Edit-Time	false



TMP Document

FILENAME	false
Bezeichnung	true



RTF Document

FILENAME	false
Bezeichnung	true
CONTENT	false



ZIP Document

FILENAME	false
Bezeichnung	true



Text Document

FILENAME	false
Bezeichnung	true
CONTENT	false



DOC Document

FILENAME	false
Bezeichnung	true
CONTENT	false
Word-Count	false
xmpTPg:NPages	false
Manager	false
Template	false
Revision-Number	false
Autor	true
Keywords	false
Content-Type	false
Autor	true
Character Count	false
Page-Count	false
Last-Printed	false
Last-Save-Date	false
Comments	false
Creation-Date	false
Category	false
Company	false
subject	false
Application-Name	false
Edit-Time	false



PDF Document

FILENAME	false
Bezeichnung	true
Autor	true
CONTENT	false



